metric,entropy,divergence,weight
efficiency_change_percentile,0.9693943523406945,0.030605647659305513,0.39528584253285054
clustering_change_percentile,0.969418841948203,0.030581158051796953,0.39496954812715523
connectivity_after_percentile,0.9837601833377955,0.01623981666220453,0.2097446093399942
