,mean,min,max,std
no_of_dependents,2.50730411686587,0.0,5.0,1.6967782891156202
education,0.5049800796812749,0.0,1.0,0.5000582160744493
self_employed,0.50066401062417,0.0,1.0,0.5000825810178885
income_annum,5074800.7968127495,200000.0,9900000.0,2788897.032117702
loan_amount,15244256.30810093,300000.0,39500000.0,9010577.028357774
loan_term,10.849933598937582,2.0,20.0,5.696642312704679
cibil_score,599.1822709163347,300.0,900.0,171.84090188514418
total_assets,32631573.70517928,400000.0,90700000.0,19365557.864374015
debt_to_income,3.0021415237783438,1.5,4.0,0.5953193529159
loan_to_assets,0.4897530157590951,0.21212114784207642,1.3333311111148147,0.14570334454283762
income_per_dependent,2050338.6454183266,33333.333333333336,9900000.0,1994714.1003843702
asset_to_income,6.38794528979156,2.0,10.142857142857142,1.2482099786847036
loan_term_x_loan_amount,166120318.7250996,1000000.0,746000000.0,140270099.1760096
