,Mean,Min,Max,Std
no_of_dependents,2.50730411686587,0.0,5.0,1.6967782891156202
income_annum,5074800.7968127495,200000.0,9900000.0,2788897.032117702
loan_amount,15244256.30810093,300000.0,39500000.0,9010577.028357774
loan_term,10.849933598937582,2.0,20.0,5.696642312704679
cibil_score,599.1822709163347,300.0,900.0,171.84090188514418
residential_assets_value,7516633.466135458,-100000.0,29100000.0,6483423.32683801
commercial_assets_value,4940637.450199204,0.0,19400000.0,4349376.894186534
luxury_assets_value,15193094.289508631,300000.0,39200000.0,9094673.028916247
bank_asset_value,4981208.499335989,0.0,14700000.0,3213265.244380149
