Source,Target,Weight
US20070077649-A1,US11473061-B2,1.0
US5731144-A,US10041046-B2,1.0
US5731144-A,US10954490-B2,1.0
US5731144-A,US10041047-B2,1.0
US5716827-A,US7468276-B2,1.0
US5716827-A,US8293223-B2,1.0
US5716827-A,US2003032179-A1,1.0
US5716827-A,US7255879-B2,1.0
CN110662832-A,CN113388572-B,1.0
CN110662832-A,CN114702591-B,1.0
US7641779-B2,US11624086-B2,1.0
DE10062623-A1,DE102004025080-B4,1.0
US8658151-B2,US11767515-B2,1.0
US8658151-B2,US11053477-B2,1.0
US8658151-B2,US11066650-B2,1.0
US8658151-B2,US10174289-B2,1.0
US8658151-B2,EP3712254-A1,1.0
WO2018052953-A1,EP4092108-A1,1.0
WO2018052953-A1,EP3880785-A4,1.0
US5670351-A,US2009286317-A1,1.0
US5670351-A,US7468276-B2,1.0
US5670351-A,US8293223-B2,1.0
US5670351-A,US2003032179-A1,1.0
US5670351-A,US7255879-B2,1.0
CN103820385-A,CN115261302-B,1.0
CN113773959-A,WO2023020599-A1,1.0
CN113773959-A,CN114456933-B,1.0
US20070010008-A1,US10947510-B2,1.0
US20070010008-A1,US11725184-B2,1.0
US20070010008-A1,US9765301-B2,1.0
US20070010008-A1,US11591572-B2,1.0
US20070010008-A1,US10597633-B2,1.0
US20070010008-A1,US11034935-B2,1.0
US20070010008-A1,US2014243227-A1,1.0
US11725184-B2,US2021327060-A1,1.0
US9765301-B2,US10947510-B2,1.0
US9765301-B2,US11767515-B2,1.0
US9765301-B2,US11053477-B2,1.0
US9765301-B2,US11066650-B2,1.0
US9765301-B2,US11035852-B2,1.0
US9765301-B2,US10174289-B2,1.0
US9765301-B2,US10006904-B2,1.0
US9765301-B2,US11034935-B2,1.0
US10597633-B2,US10947510-B2,1.0
US10597633-B2,US11725184-B2,1.0
US10597633-B2,US2020318063-A1,1.0
US10597633-B2,US11591572-B2,1.0
US10597633-B2,US11034935-B2,1.0
WO2019036666-A1,US11732226-B2,1.0
US20060141620-A1,EP3356517-A4,1.0
WO2010049752-A1,US10947510-B2,1.0
WO2010049752-A1,US11034935-B2,1.0
CN101893563-A,CN114414531-B,1.0
US11390852-B2,US2022333083-A1,1.0
US20090288963-A1,US11661574-B2,1.0
US20160312191-A1,US11767515-B2,1.0
US20160312191-A1,US11053477-B2,1.0
US20160312191-A1,US11066650-B2,1.0
US20160312191-A1,US10590392-B2,1.0
US20160312191-A1,US10174289-B2,1.0
US20160312191-A1,CN110381967-A,1.0
CN110381967-A,CN110914408-A,1.0
US20160216250-A1,US11661574-B2,1.0
US6348999-B1,US11661574-B2,1.0
US8460929-B2,US10369254-B2,1.0
US10369254-B2,US11767515-B2,1.0
US10369254-B2,US11053477-B2,1.0
US10369254-B2,US11066650-B2,1.0
US6110739-A,US7468276-B2,1.0
US6110739-A,US8293223-B2,1.0
US6110739-A,US2003032179-A1,1.0
US6110739-A,US7255879-B2,1.0
US5840523-A,WO2022013300-A1,1.0
WO2021041974-A1,US11434524-B2,1.0
WO2021041974-A1,US11624086-B2,1.0
EP3411470-A2,US11473061-B2,1.0
JP2011084580-A,US11834681-B2,1.0
JP2011084580-A,US11760978-B2,1.0
JP2011084580-A,US11407980-B2,1.0
CN108865972-A,CN108779437-A,1.0
CN108779437-A,CN109844098-A,1.0
US7960166-B2,US11773359-B2,1.0
US7960166-B2,US10472612-B2,1.0
US7960166-B2,US10655098-B2,1.0
US7960166-B2,US10954482-B2,1.0
WO2014013334-A2,US11767515-B2,1.0
WO2014013334-A2,US11053477-B2,1.0
WO2014013334-A2,US11066650-B2,1.0
WO2014013334-A2,US10174289-B2,1.0
US7158849-B2,US11767514-B2,1.0
US20130059325-A1,US10900022-B2,1.0
US20180104964-A1,US11624086-B2,1.0
US20180043357-A1,US11767515-B2,1.0
WO2014059383-A1,US10041046-B2,1.0
WO2014059383-A1,US10954490-B2,1.0
WO2014059383-A1,US10041047-B2,1.0
US7328979-B2,US11624086-B2,1.0
US4663286-A,US5605835-A,1.0
US4663286-A,US5981211-A,1.0
CN113388516-A,WO2023020599-A1,1.0
CN113388516-A,CN113773959-B,1.0
US20090076584-A1,US11047847-B2,1.0
CN102176881-A,CN112111444-B,1.0
US5418875-A,EP2700309-A1,1.0
US5418875-A,EP2702871-A1,1.0
US5418875-A,EP3412322-A1,1.0
US20120064039-A1,EP3030252-B1,1.0
US20120064039-A1,EP3884935-A1,1.0
US20140158233-A1,US10472612-B2,1.0
US20140158233-A1,US10655098-B2,1.0
US20120171354-A1,US11473061-B2,1.0
US6214587-B1,US11434524-B2,1.0
US6214587-B1,US11624086-B2,1.0
US20110301249-A1,US10222370-B2,1.0
US20110301249-A1,US2017184569-A1,1.0
US20110301249-A1,US10852297-B2,1.0
US10222370-B2,US11767515-B2,1.0
US10222370-B2,US11053477-B2,1.0
US10222370-B2,US11066650-B2,1.0
US20070010495-A1,EP3884935-A1,1.0
US20070010495-A1,EP3884935-B1,1.0
JP2014516562-A,US11834681-B2,1.0
