,Mean,Min,Max,Std
no_of_dependents,-0.0,-1.4779,1.4693,1.0002
education,0.0,-1.01,0.9901,1.0002
self_employed,-0.0,-1.0013,0.9987,1.0002
income_annum,-0.0,-1.7482,1.7304,1.0002
loan_amount,0.0,-1.6588,2.6924,1.0002
loan_term,0.0,-1.5538,1.6065,1.0002
cibil_score,-0.0,-1.7413,1.7509,1.0002
total_assets,0.0,-1.6647,2.999,1.0002
debt_to_income,-0.0,-2.5237,1.6765,1.0002
