node,networkEfficiency_before,ClusteringCoefficient_before,networkEfficiency_after,ClusteringCoefficient_after,connectivity_after,efficiency_change,clustering_change,efficiency_change_percentile,clustering_change_percentile,connectivity_after_percentile,comprehensive_score,comprehensive_score_percentile
US8628801-B2,0.197230574499739,0.2848666736292494,0.1970617386091051,0.2845624048219542,0.99812734082397,0.0001688358906338,0.0003042688072952,0.7883895131086143,0.647003745318352,0.5814606741573034,0.6891442318058622,0.8352059925093633
US7465794-B2,0.197230574499739,0.2848666736292494,0.1970828018584193,0.285080654361411,0.99812734082397,0.0001477726413196,-0.0002139807321616,0.7659176029962547,0.5393258426966292,0.5814606741573034,0.6377319113419939,0.7434456928838952
US7332169-B2,0.197230574499739,0.2848666736292494,0.1971065618973089,0.2854317877095536,0.99812734082397,0.00012401260243,-0.0005651140803041,0.7284644194756554,0.3380149812734082,0.5814606741573034,0.5434155381690984,0.5355805243445693
US8415322-B2,0.197230574499739,0.2848666736292494,0.1977895166813982,0.2821155458358756,0.99625468164794,-0.0005589421816591,0.0027511277933737,0.0449438202247191,0.9719101123595506,0.1179775280898876,0.4263857042831491,0.33707865168539325
US6060308-A,0.197230574499739,0.2848666736292494,0.1962456107196676,0.2853944320627538,0.99812734082397,0.0009849637800713,-0.0005277584335043,0.9681647940074908,0.4775280898876404,0.5814606741573034,0.6932691321385328,0.8426966292134831
US8163530-B2,0.197230574499739,0.2848666736292494,0.1972514393434961,0.2854275915236806,0.99812734082397,-2.086484375710129e-05,-0.0005609178944311,0.445692883895131,0.3426966292134831,0.5814606741573034,0.43348906185422476,0.3445692883895131
US6517842-B1,0.197230574499739,0.2848666736292494,0.1973392942386911,0.2854618323812301,0.99812734082397,-0.0001087197389521,-0.0005951587519806,0.3239700374531835,0.3136704119850187,0.5814606741573034,0.3739092720403555,0.2565543071161049
CN103052400-A,0.197230574499739,0.2848666736292494,0.1972644234197692,0.2856512890269279,0.99812734082397,-3.384892003024942e-05,-0.0007846153976784,0.4138576779026217,0.2022471910112359,0.5814606741573034,0.36543180448981444,0.23782771535580524
US8617533-B2,0.197230574499739,0.2848666736292494,0.1973225251072581,0.2859472665906824,0.99438202247191,-9.19506075190979e-05,-0.0010805929614329,0.3389513108614232,0.1254681647940075,0.0636704119850187,0.19689328453281865,0.07303370786516854
EP1185615-B1,0.197230574499739,0.2848666736292494,0.1972617555393275,0.2854916925258679,0.99812734082397,-3.1181039588573656e-05,-0.0006250188966184,0.4232209737827715,0.2883895131086142,0.5814606741573034,0.40315657682410927,0.3052434456928839
EP780475-A1,0.197230574499739,0.2848666736292494,0.19633056682126,0.2868841800715598,0.99625468164794,0.0009000076784789,-0.0020175064423104,0.9625468164794008,0.048689138576779,0.1179775280898876,0.4244570069318555,0.33146067415730335
US11433142-B2,0.197230574499739,0.2848666736292494,0.1971984115375725,0.2850074998681486,0.99812734082397,3.216296216643211e-05,-0.0001408262388992,0.5636704119850188,0.5514981273408239,0.5814606741573034,0.562594141808808,0.5936329588014981
US7531180-B2,0.197230574499739,0.2848666736292494,0.1973587668984892,0.2854011326792105,0.99812734082397,-0.0001281923987501,-0.000534459049961,0.2865168539325842,0.4288389513108614,0.5814606741573034,0.40459262477287056,0.30711610486891383
US9255126-B2,0.197230574499739,0.2848666736292494,0.197160999776962,0.2861017017017308,0.99625468164794,6.957472277691057e-05,-0.0012350280724813,0.6367041198501873,0.099250936329588,0.1179775280898876,0.3156263724725244,0.14606741573033707
WO2003070909-A3,0.197230574499739,0.2848666736292494,0.197363356678467,0.2854011326792105,0.99812734082397,-0.000132782178728,-0.000534459049961,0.2827715355805243,0.4288389513108614,0.5814606741573034,0.4031121534525228,0.30337078651685395
US7312064-B2,0.197230574499739,0.2848666736292494,0.1971891716344492,0.2842901931524132,0.99812734082397,4.14028652897247e-05,0.0005764804768362,0.5861423220973783,0.7228464419475655,0.5814606741573034,0.6391543361234688,0.7453183520599251
WO2008153541-A1,0.197230574499739,0.2848666736292494,0.1972639055215519,0.2842548118330773,0.99812734082397,-3.333102181299341e-05,0.0006118617961721,0.4194756554307116,0.7378277153558053,0.5814606741573034,0.5791905091564156,0.6235955056179775
US7993924-B2,0.197230574499739,0.2848666736292494,0.1970745674333505,0.2845559420322416,0.99812734082397,0.0001560070663884,0.0003107315970078,0.7715355805243446,0.651685393258427,0.5814606741573034,0.6843312192356791,0.8164794007490637
US9011835-B2,0.197230574499739,0.2848666736292494,0.1973150480683574,0.284195021717002,0.99812734082397,-8.44735686184317e-05,0.0006716519122473,0.3426966292134831,0.7453183520599251,0.5814606741573034,0.5517994204834974,0.5561797752808989
US7338759-B1,0.197230574499739,0.2848666736292494,0.1969359523220977,0.2845255854621999,0.99812734082397,0.0002946221776412,0.0003410881670495,0.8576779026217228,0.6629213483146067,0.5814606741573034,0.7228199196949938,0.8951310861423221
US8569472-B2,0.197230574499739,0.2848666736292494,0.1975487258088571,0.2854011326792105,0.99812734082397,-0.0003181513091181,-0.000534459049961,0.099250936329588,0.4288389513108614,0.5814606741573034,0.3305690587554828,0.1891385767790262
US9650634-B2,0.197230574499739,0.2848666736292494,0.1972406360962951,0.284708222516907,0.99812734082397,-1.006159655614347e-05,0.0001584511123424,0.4794007490636704,0.6104868913857678,0.5814606741573034,0.5525823025803943,0.5599250936329588
US5993824-A,0.197230574499739,0.2848666736292494,0.1970843524605572,0.284640879791933,0.99812734082397,0.0001462220391817,0.0002257938373164,0.7602996254681648,0.6310861423220974,0.5814606741573034,0.6717537284405558,0.8014981273408239
US6866853-B2,0.197230574499739,0.2848666736292494,0.1971890544908051,0.2833026891173523,0.99812734082397,4.152000893389851e-05,0.001563984511897,0.5880149812734082,0.8838951310861424,0.5814606741573034,0.703503899759177,0.8558052434456929
US6296854-B1,0.197230574499739,0.2848666736292494,0.1967724015328394,0.2849029540052474,0.99250936329588,0.0004581729668995,-3.628037599795464e-05,0.9157303370786516,0.5730337078651685,0.045880149812734,0.5979292165810922,0.6591760299625468
US6448073-B1,0.197230574499739,0.2848666736292494,0.1974542172174131,0.2855887499399985,0.99812734082397,-0.0002236427176741,-0.000722076310749,0.1704119850187266,0.2340823970037453,0.5814606741573034,0.28177510559260677,0.1198501872659176
US5871962-A,0.197230574499739,0.2848666736292494,0.1976154639142952,0.2854011326792105,0.99812734082397,-0.0003848894145562,-0.000534459049961,0.0823970037453183,0.4288389513108614,0.5814606741573034,0.32390693781391794,0.17228464419475656
US5690937-A,0.197230574499739,0.2848666736292494,0.1972362461749223,0.2856471655706467,0.99812734082397,-5.671675183338554e-06,-0.0007804919413972,0.4887640449438202,0.2172284644194756,0.5814606741573034,0.4009583776851914,0.299625468164794
WO2003002604-A3,0.197230574499739,0.2848666736292494,0.1971173559648327,0.2854139767079365,0.99812734082397,0.0001132185349062,-0.0005473030786871,0.7116104868913857,0.3670411985018726,0.5814606741573034,0.5482178891301007,0.550561797752809
WO2012159754-A3,0.197230574499739,0.2848666736292494,0.1979383185237066,0.2883674506848357,0.9868913857677902,-0.0007077440239676,-0.0035007770555863,0.0393258426966292,0.0168539325842696,0.0205992509363295,0.02652232084096286,0.013108614232209739
US7192593-B2,0.197230574499739,0.2848666736292494,0.1971874283178053,0.284446193309637,0.99812734082397,4.314618193365649e-05,0.0004204803196124,0.5955056179775281,0.6853932584269663,0.5814606741573034,0.6280626474532837,0.7134831460674157
US6432925-B1,0.197230574499739,0.2848666736292494,0.1975292204637241,0.2865433484062777,0.99438202247191,-0.0002986459639851,-0.0016766747770282,0.1217228464419475,0.0692883895131086,0.0636704119850187,0.08883664749606705,0.04119850187265917
US7785603-B2,0.197230574499739,0.2848666736292494,0.1971888838153536,0.2845441410154646,0.99812734082397,4.1690684385392585e-05,0.0003225326137848,0.5898876404494382,0.6591760299625468,0.5814606741573034,0.6154869335930239,0.6966292134831461
US7384774-B2,0.197230574499739,0.2848666736292494,0.1970593105159299,0.2844233787166749,0.99812734082397,0.000171263983809,0.0004432949125745,0.7902621722846442,0.6872659176029963,0.5814606741573034,0.7057867994599196,0.8632958801498127
US7659103-B2,0.197230574499739,0.2848666736292494,0.197527451182302,0.2854011326792105,0.99812734082397,-0.000296876682563,-0.000534459049961,0.1235955056179775,0.4288389513108614,0.5814606741573034,0.3401921223377432,0.20224719101123595
US7939318-B2,0.197230574499739,0.2848666736292494,0.1988107383842164,0.2863215308914651,0.9831460674157304,-0.0015801638844774,-0.0014548572622156,0.0112359550561797,0.0861423220973782,0.0149812734082397,0.04160724933289544,0.02247191011235955
US6544785-B1,0.197230574499739,0.2848666736292494,0.1961932094057179,0.2841255916772573,0.99812734082397,0.001037365094021,0.0007410819519921,0.9700374531835206,0.7696629213483146,0.5814606741573034,0.8093937301729317,0.9625468164794008
US7537768-B2,0.197230574499739,0.2848666736292494,0.1969878418929247,0.2873845151503977,0.99812734082397,0.0002427326068142,-0.0025178415211483,0.8370786516853933,0.0280898876404494,0.5814606741573034,0.4639382322737074,0.3970037453183521
US5869253-A,0.197230574499739,0.2848666736292494,0.1975371914267754,0.2841503509406239,0.99812734082397,-0.0003066169270364,0.0007163226886255,0.1104868913857678,0.7602996254681648,0.5814606741573034,0.46592734541035846,0.40262172284644193
WO2003028656-A3,0.197230574499739,0.2848666736292494,0.1956938596543676,0.2860316299897257,0.99625468164794,0.0015367148453713,-0.0011649563604763,0.9831460674157304,0.1086142322097378,0.1179775280898876,0.45626818634745536,0.38764044943820225
US11376335-B2,0.197230574499739,0.2848666736292494,0.1971984115375728,0.2850074998681486,0.99812734082397,3.21629621661268e-05,-0.0001408262388992,0.5617977528089888,0.5514981273408239,0.5814606741573034,0.5618539061486341,0.5898876404494382
US6228423-B1,0.197230574499739,0.2848666736292494,0.1973767155165381,0.2854011326792105,0.99812734082397,-0.0001461410167991,-0.000534459049961,0.2621722846441947,0.4288389513108614,0.5814606741573034,0.39496956119061016,0.28651685393258425
CN110167587-A,0.197230574499739,0.2848666736292494,0.1974719134490227,0.2854011326792105,0.99812734082397,-0.0002413389492837,-0.000534459049961,0.1647940074906367,0.4288389513108614,0.5814606741573034,0.35647730686156853,0.2247191011235955
EP3473267-A1,0.197230574499739,0.2848666736292494,0.1973958514837757,0.2854011326792105,0.99812734082397,-0.0001652769840367,-0.000534459049961,0.2359550561797752,0.4288389513108614,0.5814606741573034,0.3846062619481759,0.26779026217228463
US9474798-B2,0.197230574499739,0.2848666736292494,0.1972170847629494,0.28344351012937,0.99812734082397,1.34897367895237e-05,0.0014231634998794,0.5449438202247191,0.8632958801498127,0.5814606741573034,0.6783424027410978,0.8108614232209738
