PatentNumber,CitedByOthers,CitesOthers,TotalDegree,GlobalEfficiency,SubgraphEfficiency,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,ComponentSize,Connectivity
WO2004113517-A3,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US7795017-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
EP1083232-B1,12,0,12,0.03902327472503229,0.33506350684971675,0.0,0,0.6363636363636364,114,0.3266
US7244568-B2,0,1,1,0.03902327472503229,1.0,0.0,0,0.0,2,0.0057
US7579446-B2,1,0,1,0.03902327472503229,1.0,0.0,0,0.0,2,0.0057
US7740852-B2,0,1,1,0.03902327472503229,1.0,0.0,0,0.0,2,0.0057
WO2005010187-A1,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
WO2003062407-A1,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US6268199-B1,9,0,9,0.03902327472503229,0.8111111111111111,0.0,0,0.5277777777777778,10,0.0287
US7696330-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US7820624-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
WO2004108938-A3,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US7256043-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
EP1368371-B1,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US7704969-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US8026341-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
EP1964849-B1,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US6150170-A,0,1,1,0.03902327472503229,0.33506350684971675,0.0,0,0.0,114,0.3266
US7354737-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
EP1556493-A1,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US7811579-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US5877159-A,3,0,3,0.03902327472503229,0.33506350684971675,0.0,0,0.0,114,0.3266
US7407790-B2,0,1,1,0.03902327472503229,0.33506350684971675,0.0,0,0.0,114,0.3266
US6500419-B1,30,1,31,0.03902327472503229,0.33506350684971675,0.0003146841564808375,0,0.4344086021505376,114,0.3266
US5654136-A,2,0,2,0.03902327472503229,0.33506350684971675,0.0,0,0.0,114,0.3266
US5824777-A,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US7354908-B2,1,0,1,0.03902327472503229,1.0,0.0,0,0.0,2,0.0057
US6603998-B1,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US6713291-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
EP1163024-B1,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US6706032-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
EP1163024-A1,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
JP4113642-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US6280940-B1,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
AU757337-B,1,0,1,0.03902327472503229,0.6547619047619049,0.0,0,0.0,8,0.0229
US4719177-A,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US5871744-A,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US6200800-B1,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US5273876-A,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US5561063-A,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
WO2021213924-A1,6,1,7,0.03902327472503229,0.33506350684971675,0.0,0,0.5714285714285714,114,0.3266
CN110167587-A,2,0,2,0.03902327472503229,0.33506350684971675,0.0,0,1.0,114,0.3266
WO2021159985-A1,7,1,8,0.03902327472503229,0.33506350684971675,4.9686972075921695e-05,0,0.4642857142857143,114,0.3266
WO2023185121-A1,0,1,1,0.03902327472503229,1.0,0.0,0,0.0,2,0.0057
WO2021239147-A1,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
WO2021176434-A1,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
WO2021159648-A1,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
WO2022089471-A1,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
EP3886897-A1,1,0,1,0.03902327472503229,0.33506350684971675,0.0,0,0.0,114,0.3266
US11459304-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
CN112074296-A,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
CN113684219-A,1,0,1,0.03902327472503229,1.0,0.0,0,0.0,2,0.0057
WO2012159754-A3,5,0,5,0.03902327472503229,0.33506350684971675,0.0,0,0.2,114,0.3266
WO2017136403-A1,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US10377748-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US10392379-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
CN106413402-A,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US10183936-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
CN113272309-A,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
CN109069488-A,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
WO2021178318-A1,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
CN106470707-A,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US11137385-B2,1,0,1,0.03902327472503229,1.0,0.0,0,0.0,2,0.0057
US11835510-B2,0,1,1,0.03902327472503229,1.0,0.0,0,0.0,2,0.0057
CN109104870-A,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
WO2020052996-A1,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
CN103608033-A,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US10576111-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US11167027-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US11311616-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US10493113-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
CN108347943-A,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US2019062436-A1,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US10846371-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US10780171-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
CN108472309-A,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US10273301-B2,1,0,1,0.03902327472503229,1.0,0.0,0,0.0,2,0.0057
US10245327-B2,0,1,1,0.03902327472503229,1.0,0.0,0,0.0,2,0.0057
US9572900-B2,1,0,1,0.03902327472503229,1.0,0.0,0,0.0,2,0.0057
US11597934-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US9504747-B2,1,0,1,0.03902327472503229,1.0,0.0,0,0.0,2,0.0057
CN103608033-B,2,0,2,0.03902327472503229,0.33506350684971675,0.0,0,1.0,114,0.3266
US9751914-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US2014148792-A1,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US11857617-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
CN113876938-A,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
